#,"How many hours a day you listen to music?","Apple Music","Amazon Music","Google Music",Spotify,SoundCloud,8tracks,VK.com,"Yandex Music",Youtube,Pandora,None,Other,"Do you listen to different music based on your mood?","Do you listen to different music based on the activity you perform?","How much does the activity (e.g. work, sport, commute, travel) you do affect your music preference?","How much does your mood affect your music preference?","If you listen to music with no headphones how do music preferences of your friends who are around affect your music selection?","How much does a location you are in (e.g.  a beach, a city park) affect your music preference?","How much does an ambience of a location you are in (e.g. a sunny beach, a rainy beach, a loud bar, a quiet cafe) affect your music preference?","If you have in mind other things affecting your music preference, list them here:","Your age:","Your gender:","The country of your origin:","The country you live in now:","If you have any comments, leave them here:","Start Date (UTC)","Submit Date (UTC)","Network ID"
5e2bc9de2cc7423d157e27db5618913e,2,"Apple Music",,"Google Music",,,,,"Yandex Music",Youtube,,,,1,1,8,7,8,9,7,,30,Female,turkey,turkey,"tank you","2017-06-08 08:33:41","2017-06-08 08:35:09",6c2c2b90b8
7c96e0957e460a268a4ac91cea6b5efb,2,,,,,,,VK.com,,,,,,1,1,8,8,8,8,8,no,33,Male,"Russian Federation ",Russia,no,"2017-06-08 08:33:42","2017-06-08 08:35:52",878b090da2
cb884130350a0c79f23c6a78809c84e2,3,,,"Google Music",,,,,,Youtube,,,,1,1,3,8,6,5,6,,34,Male,"Bosnia and Herzegovina",Croatia,,"2017-06-08 08:33:57","2017-06-08 08:36:20",f18526d2ff
b70421abed4da9665bcdcd060d4752dc,2,,"Amazon Music","Google Music",,,,,,Youtube,,,,1,1,8,7,8,7,8,no,30,Male,turkey,turkey,,"2017-06-08 08:35:34","2017-06-08 08:36:24",6c2c2b90b8
f9b17c2d472aa2107046e8bea90e07ce,1,,,,,,,,,Youtube,,,,1,1,6,6,4,3,5,none,33,Male,poland,lodz,"no comments","2017-06-08 08:35:54","2017-06-08 08:37:45",20108f2a52
30a46a4237932d64383a692760aefa62,1,,,,,,,,,Youtube,,,,0,1,10,0,7,0,3,,39,Male,spain,spain,,"2017-06-08 08:35:42","2017-06-08 08:37:53",70d8bfd595
9b78dbbb78c9b9fd364c7f268911ebeb,1,,,"Google Music",,,8tracks,,,Youtube,,,,1,1,10,10,6,10,10,"when my husband is with me and a romantic songs and the raining whether is the favorite time to play music for me",27,Female,india,india,"nice one and essay task","2017-06-08 08:34:22","2017-06-08 08:38:00",508d65ae92
c9977a0ac46447d30cb042b5bf83f0e6,3,,,"Google Music",,SoundCloud,,,,Youtube,,,,1,0,4,8,9,10,7,"Sitting in the balcony talking to the moon while listening to Sia UUUUUUUUUUUHHHHHHHHHHHHHHHHHHHHHHHHHHHHH BEAUTIFUL",19,Male,Egypt,Egypt,Thanks,"2017-06-08 08:34:55","2017-06-08 08:38:12",b11353c38e
3d2a6839ef247f204aa0b4cc84096098,1,,,,,,,,,Youtube,,,,1,1,6,7,4,6,8,,22,Male,"Czech republic","Czech republic",,"2017-06-08 08:35:36","2017-06-08 08:38:50",c46431921a
88a95d25e3c170b43837b2471ab9a990,3,,"Amazon Music","Google Music",,,,,,Youtube,,,,1,1,6,9,4,6,7,Crowd,28,Female,India,India,Nothing,"2017-06-08 08:36:39","2017-06-08 08:39:29",2405:205:8
